Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,767972961,9852.703631372653,191922,2.462261931563373,0,6950655,89.17337879935917,647,0.008300681890150697,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99294553,6748.823,2347,0.16,0,121515,8.259,25,0.002,0
India,South-East Asia,44994619,3260.469,212,0.015,0,531913,38.544,3,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37682660,17728.06,11240,5.288,0,704159,331.276,195,0.092,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,32406598,63208.725,150444,293.439,0,35071,68.406,0,0,0
Italy,Europe,25901529,43428.71,1185,1.987,0,190906,320.089,6,0.01,0
The United Kingdom,Europe,24641348,36298.127,176,0.259,0,227928,335.751,0,0,0
Russian Federation,Europe,22967718,15738.379,4030,2.762,0,399715,273.9,66,0.045,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11621057,11938.799,288,0.296,0,43206,44.387,0,0,0
Australia,Western Pacific,11519171,45173.425,0,0,0,22076,86.573,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616297,49497.371,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,0,0,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7612662,9063.454,84,0.1,0,146301,174.182,2,0.002,0
Indonesia,South-East Asia,6812127,2490.508,0,0,0,161879,59.183,0,0,0
Poland,Europe,6517984,17171.506,44,0.116,0,119629,315.16,0,0,0
Colombia,Americas,6374521,12527.828,922,1.812,0,142861,280.764,25,0.049,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5594106,54333.289,0,0,0,26927,261.531,0,0,0
Ukraine,Europe,5518385,12618.136,0,0,0,109904,251.302,0,0,0
Greece,Europe,5338394,49805.119,0,0,0,37210,347.155,0,0,0
Chile,Americas,5288481,27664.916,139,0.727,0,61590,322.187,7,0.037,0
Malaysia,Western Pacific,5118353,15813.981,0,0,0,37172,114.849,0,0,0
Israel,Europe,4829689,55798.811,265,3.062,0,12575,145.283,3,0.035,0
Belgium,Europe,4801887,41674.22,19,0.165,0,34376,298.34,0,0,0
Thailand,South-East Asia,4753615,6810.339,1193,1.709,0,34396,49.278,25,0.036,0
Canada,Americas,4692732,12433.662,1412,3.741,0,53046,140.548,29,0.077,0
Czechia,Europe,4642824,43415.471,38,0.355,0,42811,400.33,0,0,0
Peru,Americas,4514682,13692.533,2591,7.858,0,221203,670.884,160,0.485,0
Switzerland,Europe,4407106,50922.016,0,0,0,14025,162.052,0,0,0
Philippines,Western Pacific,4168009,3803.585,2510,2.291,0,66484,60.671,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3414419,58639.155,86,1.477,0,8756,150.375,2,0.034,0
Romania,Europe,3408455,17634.04,460,2.38,0,68243,353.063,3,0.016,0
Sweden,Europe,2712743,26266.953,0,0,0,24536,237.577,0,0,0
Serbia,Europe,2544228,36730.711,227,3.277,0,18057,260.687,0,0,0
Singapore,Western Pacific,2511172,42923.508,0,0,0,1841,31.468,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2350501,48742.999,4609,95.578,0,3159,65.509,21,0.435,0
Hungary,Europe,2203200,22551.759,0,0,0,48798,499.492,0,0,0
Bangladesh,South-East Asia,2043288,1240.692,348,0.211,0,29463,17.89,1,0.001,0
Slovakia,Europe,1866857,34204.845,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1845538,46263.651,0,0,0,17101,428.685,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1713911,34523.753,43,0.866,0,9043,182.155,0,0,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1485975,27684.264,92,1.714,0,5600,104.33,8,0.149,0
Finland,Europe,1482668,26834.202,36,0.652,0,10012,181.203,0,0,0
Slovenia,Europe,1344579,64154.016,0,0,0,9420,449.457,0,0,0
Lithuania,Europe,1321540,47297.689,45,1.611,0,9692,346.875,0,0,0
Bulgaria,Europe,1298475,18679.11,0,0,0,38371,551.983,0,0,0
Morocco,Eastern Mediterranean,1275191,3454.813,23,0.062,0,16297,44.153,0,0,0
Croatia,Europe,1274040,31394.485,26,0.641,0,18276,450.351,1,0.025,0
Guatemala,Americas,1264574,7058.52,3043,16.985,0,20212,112.818,4,0.022,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Lebanon,Eastern Mediterranean,1238552,18146.099,0,0,0,10936,160.224,0,0,0
Costa Rica,Americas,1237611,24294.902,815,15.999,0,9402,184.566,10,0.196,0
Bolivia (Plurinational State of),Americas,1203738,10312.138,486,4.163,0,22393,191.836,1,0.009,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1114934,9843.487,63,0.556,0,8530,75.309,0,0,0
Ecuador,Americas,1067327,6049.559,0,0,0,36034,204.239,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Panama,Americas,1044965,24218.341,0,0,0,8641,200.266,0,0,0
Uruguay,Americas,1038774,29903.706,0,0,0,7634,219.764,0,0,0
