COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Albania,ALB,EURO,REPORTING,2023-05-14,3080679,1348396,107,47.379,1277987,44.905,,2021-01-13,6,399190,14.027
Chile,CHL,AMRO,REPORTING,2023-06-02,66273384,18106832,346.687,94.72,17716364,92.677,,2020-12-21,5,15766986,82.48
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,,2021-03-23,4,,
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5,3138712,11.899
Denmark,DNK,EURO,REPORTING,2023-06-11,14986863,4767119,257.4,81.87,4731911,81.266,,2020-12-16,5,3634971,62.427
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,,,1,,
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2023-04-02,10645240,7679918,81.058,58.479,4725982,35.986,,2021-03-05,6,302545,2.304
Guinea-Bissau,GNB,AFRO,REPORTING,2023-06-04,825234,733271,41.933,37.26,533741,27.121,,2021-04-02,2,48801,2.48
Guyana,GUY,AMRO,REPORTING,2023-06-02,960133,495285,122.069,62.969,381984,48.564,,2021-02-11,7,77874,9.901
Hungary,HUN,EURO,REPORTING,2023-06-11,16570212,6358579,169.6,65.086,6151942,62.971,,2020-12-23,8,3868612,39.599
Japan,JPN,WPRO,REPORTING,2023-07-04,401459622,104724822,317.418,82.802,103404012,81.758,,2021-02-17,4,86554783,68.435
Kyrgyzstan,KGZ,EURO,REPORTING,2023-05-14,3132083,1516221,48,23.24,1332740,20.428,,2021-03-31,6,283122,4.34
Mauritius,MUS,AFRO,REPORTING,2023-05-28,2615287,1123773,205.642,88.363,1088142,85.561,,2021-01-26,3,640419,50.357
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6,1058839,32.299
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987,854570,89.4,41.159,838181,40.37,,2021-02-17,7,161633,7.785
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558,88520,228.332,90.008,83565,84.97,,2021-01-10,4,44936,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640,754399,113.587,53.905,718969,51.374,,2021-02-17,5,174836,12.493
Turkmenistan,TKM,EURO,REPORTING,2023-02-05,13040514,3359468,216.2,55.702,3358426,55.684,,2021-02-24,7,3171535,52.586
Uganda,UGA,AFRO,REPORTING,2023-05-28,26406936,20033189,57.731,43.797,13061126,28.555,,2021-03-10,5,764664,1.672
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.069,15153577,34.65,,2021-02-24,6,741197,1.695
Yemen,YEM,EMRO,REPORTING,2023-06-20,1282460,1037766,4.3,3.479,794265,2.663,,2021-04-20,11,65523,0.22
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Australia,AUS,WPRO,REPORTING,2023-07-06,68247343,22216819,267.638,87.125,21627933,84.816,,2021-02-21,5,14406392,56.496
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11,1008663,59.278
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453,19466,137.094,64.378,18261,60.393,,2021-02-11,3,3726,12.323
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6,1898202,29.265
Eswatini,SWZ,AFRO,REPORTING,2023-06-04,870205,526050,75.007,45.343,427335,36.834,,2021-03-19,3,179450,15.468
